"idx","group_code","group_name","group_name_en","description","use_yn","sort_order","created_at","created_user_idx","updated_at","updated_user_idx"
2,C02,직급,Position,직원 직급 코드,Y,2,2025-10-23 15:44:34.768,,2025-10-23 15:44:34.768,
3,C03,연차유형,Leave Type,연차 종류 코드,Y,3,2025-10-23 15:44:34.768,,2025-10-23 15:44:34.768,
4,C04,문서유형,Document Type,전자결재 문서 유형,Y,4,2025-10-23 15:44:34.768,,2025-10-23 15:44:34.768,
5,C05,문서상태,Document Status,결재 문서 상태,Y,5,2025-10-23 15:44:34.768,,2025-10-23 15:44:34.768,
6,C06,근무형태,Work Type,근무 형태 구분,Y,6,2025-10-23 15:44:34.768,,2025-10-23 15:44:34.768,
7,C07,재직상태,Employment Status,직원 재직 상태,Y,7,2025-10-23 15:44:34.768,,2025-10-23 15:44:34.768,
8,C08,직위,Rank,연구소 직위 코드,Y,8,2025-10-24 15:21:00.600,,2025-10-24 15:21:00.600,
1,C01,부서(소속),Department,조직 부서(소속) 코드,Y,0,2025-10-23 15:44:34.768,,2025-11-11 15:41:38.506,
9,C09,팀유형,Team,팀설정 구분 코드,Y,0,2025-11-10 16:14:28.403,,2025-11-11 15:34:15.682,
